,Unnamed: 0,id,first name,last name,email,hours at pycon,nationality,satisfaction,next project successful
0,0,0,Ivett,Herrera,.@yopmail.com,15.0,Lesotho,4,0
1,1,1,Willetta,Gino,.@yopmail.com,18.0,Niger,9,1
2,2,2,Felice,Delacourt,.@yopmail.com,13.0,Canada,3,0
3,3,3,Riannon,Crudden,.@yopmail.com,14.0,Tunisia,6,0
4,4,4,Mildrid,Yorick,.@yopmail.com,20.0,Colombia,8,1
5,5,5,Daune,Dyche,.@yopmail.com,2.0,Finland,5,0
6,6,6,Rosabelle,Orlene,.@yopmail.com,10.0,Sri Lanka,2,0
7,6,6,Rosabelle,Orlene,.@yopmail.com,10.0,Sri Lanka,9,0
8,7,7,Ulrike,Felecia,.@yopmail.com,1.0,Ethiopia,1,0
9,8,8,Rayna,Brieta,.@yopmail.com,21.0,Ecuador,8,1
10,9,9,Jolyn,Uund,.@yopmail.com,16.0,Cape Verde,8,0
11,10,10,Giustina,Gino,.@yopmail.com,6.0,Seychelles,3,0
12,11,11,Aurelie,Lenny,.@yopmail.com,14.0,AndorrA,7,0
13,12,12,Shirlee,Santoro,,9.0,Samoa,6,0
14,13,13,Halette,Hollingsworth,.@yopmail.com,4.0,Sweden,2,0
15,14,14,Therine,Kress,.@yopmail.com,7.0,Guam,3,0
16,15,15,Lenna,Janene,.@yopmail.com,6.0,"Palestinian Territory, Occupied",7,0
17,16,16,Lory,Lindemann,.@yopmail.com,10.0,Heard Island and Mcdonald Islands,1,0
18,17,17,Eugine,Michella,,10.0,Tonga,2,0
19,18,18,Ilse,Cloris,.@yopmail.com,10.0,Lithuania,7,0
20,19,19,Lilith,Merat,.@yopmail.com,11.0,Jamaica,7,0
21,20,20,Marleah,Matthew,.@yopmail.com,23.0,Bangladesh,9,1
22,21,21,Eve,Donoghue,.@yopmail.com,22.0,Niger,9,1
23,22,22,Molli,Armanda,,6.0,Turkmenistan,7,0
24,23,23,Lila,Ventre,.@yopmail.com,19.0,Canada,8,1
25,24,24,Jinny,Natalia,.@yopmail.com,13.0,Reunion,9,0
26,25,25,Alex,Diann,.@yopmail.com,19.0,Bahrain,8,1
27,26,26,Jessy,Clywd,.@yopmail.com,5.0,Uzbekistan,6,0
28,27,27,Noelle,Lacombe,.@yopmail.com,3.0,Colombia,4,0
29,28,28,Trudie,Maryanne,.@yopmail.com,2.0,Bahrain,8,0
30,29,29,Lila,Tyson,.@yopmail.com,12.0,Fiji,7,0
31,30,30,Oona,Fillbert,.@yopmail.com,8.0,Zambia,6,0
32,31,31,Debee,Susannah,.@yopmail.com,18.0,Luxembourg,8,1
33,32,32,Heida,Zola,.@yopmail.com,10.0,Maldives,1,0
34,33,33,Deirdre,Lane,.@yopmail.com,7.0,Belarus,5,0
35,34,34,Melanie,Garek,.@yopmail.com,20.0,Togo,9,1
36,35,35,Kial,Jobi,.@yopmail.com,1.0,Malta,6,0
37,36,36,Shel,Maiah,.@yopmail.com,21.0,Iceland,8,1
38,37,37,Marline,Oneida,.@yopmail.com,17.0,Anguilla,8,0
39,38,38,Maurene,Edmund,.@yopmail.com,15.0,Greece,5,0
40,39,39,Chloris,Michella,.@yopmail.com,23.0,Greece,9,1
41,40,40,Dede,Sinegold,.@yopmail.com,15.0,Liechtenstein,3,0
42,41,41,Olwen,Juan,.@yopmail.com,6.0,Liberia,6,0
43,42,42,Lily,Roscoe,.@yopmail.com,3.0,Greece,2,0
44,43,43,Rebeca,Nikaniki,.@yopmail.com,2.0,Haiti,3,0
45,44,44,Alia,Aldric,.@yopmail.com,22.0,Luxembourg,9,1
46,45,45,Jordan,Laurianne,.@yopmail.com,6.0,Mauritania,9,0
47,46,46,Ricky,Joachim,.@yopmail.com,24.0,San Marino,8,1
48,47,47,Mary,Kelula,.@yopmail.com,7.0,Chile,4,0
49,48,48,Ethel,Vharat,.@yopmail.com,12.0,Niue,8,0
50,49,49,Roslyn,Maribeth,.@yopmail.com,1.0,Fiji,3,0
51,50,50,Evaleen,Persse,.@yopmail.com,4.0,Sierra Leone,5,0
52,51,51,Rozele,Sophronia,.@yopmail.com,18.0,Bangladesh,8,1
53,52,52,Linet,Norrie,.@yopmail.com,7.0,Cocos (Keeling) Islands,3,0
54,6,6,Rosabelle,Orlene,.@yopmail.com,10.0,Sri Lanka,7,0
55,53,53,Shel,Elisha,.@yopmail.com,14.0,Guyana,9,0
56,54,54,Gilligan,Nisbet,.@yopmail.com,13.0,British Indian Ocean Territory,2,0
57,55,55,,Buckler,.@yopmail.com,22.0,United Arab Emirates,8,1
58,56,56,Gwyneth,Hewitt,.@yopmail.com,15.0,France,6,0
59,57,57,Viviene,McLaughlin,.@yopmail.com,10.0,Holy See (Vatican City State),5,0
60,58,58,Dorene,Payson,.@yopmail.com,12.0,Burkina Faso,4,0
61,59,59,Carlie,Uird,.@yopmail.com,12.0,Spain,6,0
62,60,60,Aaren,Rurik,.@yopmail.com,8.0,Bahrain,9,0
63,61,61,,Eiser,.@yopmail.com,7.0,Sao Tome and Principe,5,0
64,62,62,Joane,Bevin,.@yopmail.com,12.0,El Salvador,2,0
65,63,63,Charlena,Alice,.@yopmail.com,20.0,Cape Verde,8,1
66,64,64,Gianina,Sandye,.@yopmail.com,18.0,American Samoa,9,1
67,65,65,Jeanna,Neva,.@yopmail.com,18.0,Gambia,8,1
68,66,66,Etta,Remmer,.@yopmail.com,22.0,Sweden,9,1
69,67,67,Kalina,Vittoria,.@yopmail.com,19.0,"Korea, Republic of",8,1
70,68,68,Randa,Anis,.@yopmail.com,24.0,Luxembourg,9,1
71,69,69,Inga,Elvyn,.@yopmail.com,18.0,Bermuda,9,1
72,70,70,Elvira,Ingra,.@yopmail.com,17.0,Guadeloupe,8,0
73,71,71,Myrtice,Nicoline,.@yopmail.com,17.0,India,8,0
74,72,72,Genovera,Lamoree,.@yopmail.com,17.0,Northern Mariana Islands,8,0
